,영화명,평점
130,라이온 킹,0
131,삼국지: 명장 관우,7.30
132,썬더일레븐 극장판 : 최강군단 오우거의 습격,8.49
133,라스트 나잇,8.10
134,정무문 : 100대 1의 전설,7.32
135,로맨틱 크라운,7.21
136,러브 앤 프렌즈,6.96
137,히트,3.58
138,웨이 백,0.00
139,타운,8.18
140,기생령,4.33
141,프리스트,6.32
142,샤크 나이트 3D,5.18
143,타워 하이스트,7.55
144,써니 감독판,9.12
145,완벽한 파트너,6.90
146,옥보단 3D,3.87
147,아따맘마 - 극장판,7.30
148,프렌즈 위드 베네핏,7.99
149,꿀벌 하치의 대모험,8.61
150,청원,8.87
151,회초리,8.06
152,Mr.아이돌,7.29
153,로맨틱 헤븐,6.48
154,베니싱,5.94
155,돈비 어프레이드 : 어둠 속의 속삭임,5.39
156,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,6.09
157,미트 페어런츠 3,6.57
158,그을린 사랑,8.71
159,"사랑한다, 사랑하지 않는다",5.81
160,레지던트,6.95
161,천녀유혼,6.48
162,블리츠,6.95
163,언피니시드,7.23
164,황당한 외계인: 폴,7.76
165,헤드,8.84
166,결정적 한방,6.26
167,내 여자친구의 결혼식,7.59
168,극장판 유희왕 : 시공을 초월한 우정,7.82
169,극장판 아따맘마3D : 엄마는 초능력자,7.30
170,행오버 2,6.88
171,고 녀석 맛나겠다,9.23
172,쩨쩨한 로맨스,8.52
173,달빛 길어올리기,6.97
174,더 라이트: 악마는 있다,7.34
175,워터 포 엘리펀트,7.63
176,쓰리 데이즈,8.30
177,별을 쫓는 아이,7.91
178,포인트 블랭크,6.91
179,스트레스를 부르는 그 이름 직장상사,7.70
180,더 킥,6.95
181,트리 오브 라이프,7.01
182,소중한 날의 꿈,8.60
183,아메리칸,5.81
184,인 어 베러 월드,8.79
185,스크림 4G,5.86
186,아프리카 마법여행,4.99
187,퍼펙트 센스,7.94
188,히어애프터,7.83
189,샤오린 : 최후의 결전,7.37
190,북촌방향,7.78
191,혈투,7.04
192,고백,7.75
193,세인트 클라우드,7.35
194,마오의 라스트 댄서,0
195,김종욱 찾기,8.29
196,훈장과 악동들,7.71
197,노다메 칸타빌레 최종악장,8.90
198,쟈니 잉글리쉬2 : 네버다이,7.50
199,가필드 펫 포스 3D,0
200,지구대표 롤링스타즈,6.45
201,음모자,8.13
202,아이 엠 러브,0
203,나니아 연대기: 새벽 출정호의 항해,8.09
204,소명 3 : 히말라야의 슈바이처,9.08
205,더 브레이브,8.07
206,드라이브 앵그리 3D,6.44
207,오페라의 유령 : 25주년 특별 공연,9.30
208,무협,7.63
209,리멤버 미,7.53
210,워리어,8.70
211,환상의 그대,7.60
212,원라이프,6.38
213,파수꾼,0.00
214,상실의 시대,4.94
215,토마스와 친구들 - 극장판 3,7.15
216,엄마 까투리,9.18
217,돼지의 왕,8.02
218,드라이브,8.08
219,초(민망한)능력자들,0
220,비기너스,8.22
221,거위도 난다,0
222,사랑을 카피하다,7.87
223,세상의 모든 계절,8.60
224,양과자점 코안도르,6.60
225,바보야,8.15
226,허블 3D,7.52
227,일루셔니스트,8.45
228,스톤,0.00
229,비우티풀,8.41
230,진짜로 일어날지도 몰라 기적,8.72
231,슈퍼쇼3 3D,7.39
232,헤어드레서,8.07
233,서유기 리턴즈,5.84
234,플레이,8.10
235,코파카바나,8.05
236,샤넬과 스트라빈스키,0
237,트루맛쇼,9.25
238,사라의 열쇠,8.42
239,극장판 메이저 : 우정의 강속구,0
240,2010 빅뱅라이브콘서트 BIGSHOW 3D,6.92
241,윈터스 본,6.51
242,고양이 춤,9.03
243,최종병기 활 감독확장판,7.86
244,"혜화, 동",8.41
245,무산일기,8.23
246,씨민과 나데르의 별거,8.94
247,최후의 툰드라-극장판,9.08
248,모차르트 락 오페라,8.81
249,타이페이 카페 스토리,8.04
250,"미안해, 고마워",8.83
251,량강도 아이들,7.16
252,루르드,0
253,재스퍼,0.00
254,용서,10.00
255,고래를 찾는 자전거,7.81
256,법정스님의 의자,8.36
257,타이머,0.00
258,쓰리,6.35
259,부러진 화살,8.91
260,원더풀 라디오,7.57
261,사물의 비밀,7.62
262,사운드 오브 노이즈,7.75
263,르 아브르,7.95
264,톨스토이의 마지막 인생,0
265,마더 앤 차일드,0
266,"러블리, 스틸",0
267,내 친구의 소원,0
268,이티,0
269,클라라,0.00
270,서태지 모아이 : 더 필름,9.64
271,나비효과: 레버레이션,0
272,래빗 홀,8.06
273,피파 리의 특별한 로맨스,0
274,마이 원 앤 온리,0
275,수영장,0.00
276,위대한 계시,0
277,소중한 사람,0
278,나의 선택-잊혀진 가방 그 못다한 이야기,9.12
279,종로의 기적,8.61
280,토일렛,7.84
281,소울 키친,0
282,티파니에서 아침을,0
283,선물 가게를 지나야 출구,8.88
284,피나 바우쉬의 댄싱 드림즈,0
285,레스트리스,7.41
286,간츠,6.28
287,인사이드잡,9.06
288,파리넬리,0
289,카페 느와르,0
290,이브 생 로랑의 라무르,8.21
291,클라우드,0.00
292,라이프 인 어 데이,8.37
293,세 얼간이 감독판,0
294,홍길동 2084,5.40
295,나넬 모차르트,7.26
296,콜렉터,0.00
297,사운드 오브 뮤직,0
298,쿠바의 연인,7.85
299,간츠: 퍼펙트 앤서,6.28
300,디어 미,7.73
301,우리 이웃의 범죄,6.86
302,네버 렛 미 고,7.56
303,미션,8.74
304,앙드레 마티유,7.45
305,킬리만자로의 눈,0
306,오월愛,7.58
307,애정만세,7.44
308,아프리카의 눈물,7.96
309,투어리스트,6.12
310,내가 사는 피부,7.86
311,악인,6.12
312,마셰티,7.27
313,레드라인,8.22
314,안티크라이스트,0
315,메리와 맥스,0
316,퍼블릭 에너미 넘버원,0
317,길소뜸,0
318,"파리, 사랑한 날들",6.69
319,모감보,0
320,릴라 릴라,0
321,대부,6.92
322,리슨 투 유어 하트,7.70
323,십계,0
324,드래곤 길들이기,9.68
325,해저 2만리,0
326,도쿄 오아시스,4.96
327,네 번,8.05
328,멋진 인생,4.52
