순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
74,메가로돈,2018-08-15,4516122497,0.002,527962,601,16459,미국,미국,워너브러더스 코리아(주)
75,콰이어트 플레이스,2018-04-12,4580889849,0.003,526073,677,30760,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
76,호두까기 인형과 4개의 왕국,2018-12-06,4120048900,0.002,513767,294,14238,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
77,셰이프 오브 워터: 사랑의 모양,2018-02-22,4218077050,0.002,507102,404,20200,미국,미국,이십세기폭스코리아(주)
78,곰돌이 푸 다시 만나 행복해,2018-10-03,4093369860,0.002,492201,536,21601,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
79,변산,2018-07-04,4016562273,0.002,490519,763,27504,한국,한국,메가박스중앙(주)플러스엠
80,그린치,2018-12-19,3675441950,0.002,485064,724,10998,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
81,스타 이즈 본,2018-10-09,4197504400,0.002,483852,555,25781,미국,미국,워너브러더스 코리아(주)
82,동네사람들,2018-11-07,3818515112,0.002,461693,731,23598,한국,한국,(주)리틀빅픽쳐스
83,원더풀 고스트,2018-09-26,3720931600,0.002,450374,351,13999,한국,한국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
84,강철비,2017-12-14,3494678900,0.002,438447,602,13598,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
85,흥부: 글로 세상을 바꾼 자,2018-02-14,3381050200,0.002,416303,627,18671,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
86,명탐정 코난 : 제로의 집행인,2018-08-08,3014920361,0.002,396230,542,8770,일본,일본,(주)씨제이이엔엠
87,피터 래빗,2018-05-16,3006258100,0.002,388300,599,12522,미국,"미국,영국,호주",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
88,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,2941541400,0.002,375312,672,6495,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
89,패딩턴 2,2018-02-08,2555480200,0.001,339014,629,14455,프랑스,"프랑스,영국",(주)이수C&E
90,허스토리,2018-06-27,2521025949,0.001,336822,696,20406,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
91,미드나잇 선,2018-06-21,2679300500,0.001,326086,472,14847,미국,미국,"(주)삼백상회,(주)키다리이엔티"
92,덕구,2018-04-05,2389041700,0.001,315663,544,19006,한국,한국,메가박스중앙(주)플러스엠
93,번 더 스테이지: 더 무비,2018-11-15,2671391900,0.001,315010,243,4714,한국,한국,월트디즈니컴퍼니코리아 유한책임회사
94,트루스 오어 데어,2018-05-22,2647330400,0.001,310956,530,17066,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
95,커뮤터,2018-01-24,2286690955,0.001,286062,575,16145,영국,"영국,미국",메가박스중앙(주)플러스엠
96,후드,2018-11-28,2203434149,0.001,284601,628,14338,미국,미국,(주)이수C&E
97,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,2148708050,0.001,277206,489,5329,일본,일본,(주)씨제이이엔엠
98,해리포터와 마법사의 돌,2001-12-13,2349913000,0.001,267950,33,3929,미국,미국,워너브러더스 코리아(주)
99,모털 엔진,2018-12-05,2324362119,0.001,267896,661,15454,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
100,바울,2018-10-31,2100137400,0.001,267785,227,8455,미국,미국,(재)CBS
101,나를 차버린 스파이,2018-08-22,2346742100,0.001,264766,278,12987,미국,미국,(주)누리픽쳐스
102,명탐정 코난:감벽의 관,2018-02-14,1803389439,0.001,242603,487,8489,일본,일본,(주)씨제이이엔엠
103,아이 필 프리티,2018-06-06,2127094300,0.001,240297,213,11900,미국,미국,(주)홈초이스
104,시카리오: 데이 오브 솔다도,2018-06-27,1938637400,0.001,229542,261,10977,미국,미국,㈜코리아스크린
105,치즈인더트랩,2018-03-14,1890873700,0.001,229005,364,14710,한국,한국,(주)리틀빅픽쳐스
106,12 솔져스,2018-01-31,1833626400,0.001,223740,211,9844,미국,미국,(주)제이앤씨미디어그룹
107,1급기밀,2018-01-24,1720083300,0.001,217803,512,11352,한국,한국,(주)리틀빅픽쳐스
108,50가지 그림자: 해방,2018-02-21,1866384500,0.001,217785,213,10027,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
109,속닥속닥,2018-07-13,1900914300,0.001,217444,314,8246,한국,한국,(주)그노스
110,벽 속에 숨은 마법시계,2018-10-31,1654715300,0.001,215029,609,14005,미국,미국,CGV아트하우스
111,허리케인 하이스트,2018-03-14,1730262848,0.001,214949,544,16363,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
112,한 솔로: 스타워즈 스토리,2018-05-24,1964276778,0.001,213980,569,14818,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
113,콜 미 바이 유어 네임,2018-03-22,1663750988,0.001,198945,192,10218,이탈리아,"이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"
114,나미야 잡화점의 기적,2018-02-28,1456136885,0.001,191988,532,10240,일본,일본,(주)이수C&E
115,업그레이드,2018-09-06,1743757800,0.001,190387,220,11549,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
